"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"567","2020/11/05 10:30:21 AM GMT-3","6","Nutrição","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Regular"
"568","2020/11/05 10:30:27 AM GMT-3","2","Farmácia","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Não sei/Não quero responder","Ruim"
"569","2020/11/05 10:31:17 AM GMT-3","6","Farmácia","Cuité","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Não sei/Não quero responder","Péssima","Ruim"
"571","2020/11/05 10:31:44 AM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Não sei/Não quero responder","Bom"
"572","2020/11/05 10:31:46 AM GMT-3","3","Farmácia","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"573","2020/11/05 10:32:08 AM GMT-3","3","Farmácia","Cuité","Não","Todas","Ruim","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Nao","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"576","2020/11/05 10:34:23 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Igual","Não","Regular","Excelente"
"578","2020/11/05 10:35:38 AM GMT-3","2","Farmácia","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"579","2020/11/05 10:35:46 AM GMT-3","4","Farmácia","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"580","2020/11/05 10:36:06 AM GMT-3","3","Farmácia","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"583","2020/11/05 10:40:16 AM GMT-3","2","Enfermagem","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Não","Péssima","Excelente"
"584","2020/11/05 10:41:20 AM GMT-3","3","Farmácia","Cuité","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Não sei/Não quero responder","Boa","Bom"
"586","2020/11/05 10:41:34 AM GMT-3","1","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Maior","Não sei/Não quero responder","Ruim","Bom"
"587","2020/11/05 10:42:54 AM GMT-3","2","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"589","2020/11/05 10:45:42 AM GMT-3","1","Farmácia","Cuité","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Regular"
"590","2020/11/05 10:46:58 AM GMT-3","2","Farmácia","Cuité","Sim","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Não","Excelente","Regular"
"591","2020/11/05 10:47:03 AM GMT-3","3","Enfermagem","Cuité","Sim","Todas","Razoável","Não mudou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Boa","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não sei/Não quero responder","Boa","Bom"
"592","2020/11/05 10:48:58 AM GMT-3","3","Enfermagem","Cuité","Não","Todas","Bom","Não mudou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Muito maior","Sim","Boa","Regular"
"593","2020/11/05 10:49:06 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Não","Regular","Excelente"
"594","2020/11/05 10:49:06 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Sim","Boa","Insuficiente","Menos exigentes","Muito maior","Não","Regular","Excelente"
"595","2020/11/05 10:49:13 AM GMT-3","5","Nutrição","Cuité","Não sei/Não quero responder","Algumas","Bom","Piorou","Não sei/Não quero responder","Pior","Nunca","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"596","2020/11/05 10:50:22 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Razoável","Não sei/Não quero responder","Menor","Não","Ruim","Regular"
"597","2020/11/05 10:50:34 AM GMT-3","3","Enfermagem","Cuité","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Regular","Bom"
"598","2020/11/05 10:50:49 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Nunca","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Ruim","Excelente"
"599","2020/11/05 10:50:50 AM GMT-3","2","Enfermagem","Cuité","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Bom"
"600","2020/11/05 10:52:14 AM GMT-3","5","Nutrição","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Nao","Excelente","Excelente","Tão exigentes quanto","Maior","Não","Regular","Regular"
"602","2020/11/05 10:53:59 AM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Piorou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Sim","Regular","Bom"
"603","2020/11/05 10:55:01 AM GMT-3","6","Ciências Biológicas","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Excelente","Excelente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"604","2020/11/05 10:56:16 AM GMT-3","5","Nutrição","Cuité","Não sei/Não quero responder","Algumas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Sim","Ruim","Bom"
"605","2020/11/05 10:58:11 AM GMT-3","2","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Inexistente","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"606","2020/11/05 10:58:35 AM GMT-3","2","Enfermagem","Cuité","Não","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"608","2020/11/05 11:00:02 AM GMT-3","2","Enfermagem","Cuité","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"609","2020/11/05 11:00:15 AM GMT-3","6","Nutrição","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Sim","Regular","Regular"
"613","2020/11/05 11:03:29 AM GMT-3","5","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"614","2020/11/05 11:04:30 AM GMT-3","2","Enfermagem","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Sim","Boa","Bom"
"615","2020/11/05 11:04:37 AM GMT-3","5","Farmácia","Cuité","Sim","Todas","Ruim","Não mudou","Não sei/Não quero responder","Pior","Raramente","Não","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"617","2020/11/05 11:10:34 AM GMT-3","3","Química","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Boa","Bom"
"619","2020/11/05 11:12:00 AM GMT-3","5","Nutrição","Cuité","Não","Todas","Não sei/Não quero responder","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Bom","Não sei/Não quero responder","Muito maior","Sim","Regular","Excelente"
"635","2020/11/05 11:23:03 AM GMT-3","2","Enfermagem","Cuité","Não","Todas","Bom","Não mudou","Igual","Pior","Nunca","Sim","Não sei/Não quero responder","Boa","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Bom"
"638","2020/11/05 11:26:32 AM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Bom","Menos exigentes","Igual","Não","Regular","Ruim"
"645","2020/11/05 11:40:44 AM GMT-3","5","Nutrição","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Não","Regular","Ruim"
"648","2020/11/05 11:44:39 AM GMT-3","5","Farmácia","Cuité","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Frequentemente","Não","Sim","Razoável","Bom","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Péssima","Regular"
"650","2020/11/05 11:46:47 AM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"655","2020/11/05 11:53:34 AM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Não sei/Não quero responder","Não","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Maior","Não","Não sei/Não quero responder","Regular"
"663","2020/11/05 12:00:35 PM GMT-3","3","Farmácia","Cuité","Não","Todas","Bom","Melhorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Inexistente","Mais exigentes","Muito maior","Sim","Não sei/Não quero responder","Excelente"
"664","2020/11/05 12:03:28 PM GMT-3","3","Farmácia","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"667","2020/11/05 12:19:38 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Bom","Mais exigentes","Maior","Sim","Péssima","Regular"
"670","2020/11/05 12:21:04 PM GMT-3","1","Química","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Inexistente","Tão exigentes quanto","Muito maior","Sim","Boa","Regular"
"673","2020/11/05 12:24:52 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Razoável","Não mudou","Não sei/Não quero responder","Pior","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Bom","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Não sei/Não quero responder"
"683","2020/11/05 12:48:44 PM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"744","2020/11/05 1:07:34 PM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Piorou","Igual","Não afetou","Raramente","Sim","Nao","Excelente","Bom","Tão exigentes quanto","Maior","Não","Regular","Regular"
"762","2020/11/05 1:17:21 PM GMT-3","1","Farmácia","Cuité","Não","Algumas","Bom","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Regular","Bom"
"768","2020/11/05 1:22:49 PM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não","Boa","Excelente"
"779","2020/11/05 1:32:39 PM GMT-3","6","Nutrição","Cuité","Não","Todas","Bom","Piorou","Igual","Pior","Nunca","Sim","Não passo por essas dificuldades","Excelente","Excelente","Menos exigentes","Maior","Sim","Ruim","Bom"
"784","2020/11/05 1:41:35 PM GMT-3","2","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Ruim","Bom"
"788","2020/11/05 1:45:47 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
"794","2020/11/05 1:52:15 PM GMT-3","5","Nutrição","Cuité","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Excelente","Menos exigentes","Igual","Não","Boa","Regular"
"795","2020/11/05 1:52:32 PM GMT-3","5","Nutrição","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Maior","Sim","Regular","Regular"
"798","2020/11/05 1:56:43 PM GMT-3","5","Nutrição","Cuité","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Ruim","Bom","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Ruim","Regular"
"805","2020/11/05 2:05:37 PM GMT-3","3","Farmácia","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"807","2020/11/05 2:09:36 PM GMT-3","5","Enfermagem","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Excelente","Mais exigentes","Maior","Sim","Péssima","Bom"
"809","2020/11/05 2:10:57 PM GMT-3","6","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Melhor","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"810","2020/11/05 2:13:33 PM GMT-3","5","Enfermagem","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
"812","2020/11/05 2:15:36 PM GMT-3","5","Enfermagem","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Não sei/Não quero responder"
"813","2020/11/05 2:18:44 PM GMT-3","7","Farmácia","Cuité","Sim","Todas","Bom","Não mudou","Igual","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Muito maior","Não","Ruim","Regular"
"814","2020/11/05 2:18:56 PM GMT-3","5","Enfermagem","Cuité","Não","Algumas","Razoável","Não mudou","Pior","Pior","Nunca","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"815","2020/11/05 2:19:05 PM GMT-3","5","Enfermagem","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"817","2020/11/05 2:22:31 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Pior","Melhor","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"818","2020/11/05 2:23:52 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Mais exigentes","Maior","Não","Regular","Regular"
"819","2020/11/05 2:26:21 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Menor","Sim","Ruim","Regular"
"820","2020/11/05 2:26:51 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"821","2020/11/05 2:27:09 PM GMT-3","4","Enfermagem","Cuité","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"822","2020/11/05 2:27:20 PM GMT-3","6","Nutrição","Cuité","Não","Algumas","Ruim","Piorou","Igual","Pior","Frequentemente","Não","Sim","Razoável","Bom","Tão exigentes quanto","Igual","Sim","Péssima","Regular"
"825","2020/11/05 2:29:58 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Não","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"826","2020/11/05 2:30:20 PM GMT-3","6","Nutrição","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"828","2020/11/05 2:31:43 PM GMT-3","4","Enfermagem","Cuité","Não sei/Não quero responder","Algumas","Razoável","Não mudou","Pior","Não sei/Não quero responder","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Regular"
"833","2020/11/05 2:35:38 PM GMT-3","6","Nutrição","Cuité","Não","Algumas","Excelente","Não mudou","Não sei/Não quero responder","Não sei/Não quero responder","Nunca","Sim","Não passo por essas dificuldades","Excelente","Excelente","Menos exigentes","Igual","Não sei/Não quero responder","Ruim","Regular"
"834","2020/11/05 2:36:08 PM GMT-3","4","Enfermagem","Cuité","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Muito maior","Não sei/Não quero responder","Boa","Bom"
"841","2020/11/05 2:37:57 PM GMT-3","5","Ciências Biológicas","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Não sei/Não quero responder","Não","Sim","Ruim","Razoável","Tão exigentes quanto","Muito maior","Sim","Não sei/Não quero responder","Regular"
"843","2020/11/05 2:39:53 PM GMT-3","5","Nutrição","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Bom","Mais exigentes","Muito maior","Não","Regular","Excelente"
"847","2020/11/05 2:41:28 PM GMT-3","7","Ciências Biológicas","Cuité","Não","Algumas","Razoável","Não mudou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Razoável","Insuficiente","Tão exigentes quanto","Menor","Não","Ruim","Bom"
"849","2020/11/05 2:43:45 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Regular"
"850","2020/11/05 2:44:38 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"851","2020/11/05 2:44:47 PM GMT-3","7","Nutrição","Cuité","Não sei/Não quero responder","Nenhuma","Péssimo","Não sei/Não quero responder","Pior","Pior","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Ruim"
"855","2020/11/05 2:48:19 PM GMT-3","6","Nutrição","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"870","2020/11/05 2:54:36 PM GMT-3","4","Enfermagem","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"871","2020/11/05 2:55:02 PM GMT-3","3","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"878","2020/11/05 2:55:45 PM GMT-3","4","Enfermagem","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Bom"
"879","2020/11/05 2:55:50 PM GMT-3","8","Nutrição","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"881","2020/11/05 2:56:22 PM GMT-3","3","Farmácia","Cuité","Sim","Todas","Bom","Melhorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"891","2020/11/05 2:58:21 PM GMT-3","9","Farmácia","Cuité","Sim","Todas","Bom","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Bom"
"904","2020/11/05 2:59:41 PM GMT-3","5","Enfermagem","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
