"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"71","2020/10/27 9:46:41 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"72","2020/10/27 9:47:18 AM GMT-3","9","História","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Bom","Menos exigentes","Maior","Não","Ruim","Excelente"
"74","2020/10/27 9:48:00 AM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"76","2020/10/27 9:48:40 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Excelente","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Regular","Bom"
"78","2020/10/27 9:48:58 AM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Regular","Bom"
"79","2020/10/27 9:49:59 AM GMT-3","5","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"80","2020/10/27 9:50:12 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Ruim","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Menos exigentes","Muito maior","Sim","Boa","Bom"
"81","2020/10/27 9:50:14 AM GMT-3","6","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Muito maior","Sim","Ruim","Excelente"
"82","2020/10/27 9:51:49 AM GMT-3","5","História","Cajazeiras","Sim","Algumas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Frequentemente","Sim","Não sei/Não quero responder","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Boa","Excelente"
"84","2020/10/27 9:54:05 AM GMT-3","1","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Boa","Insuficiente","Não sei/Não quero responder","Igual","Não","Regular","Bom"
"85","2020/10/27 9:54:24 AM GMT-3","10","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Menor","Não","Regular","Excelente"
"88","2020/10/27 10:04:05 AM GMT-3","6","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Bom","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Não sei/Não quero responder","Bom"
"91","2020/10/27 10:10:05 AM GMT-3","6","História","Cajazeiras","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
"93","2020/10/27 10:11:22 AM GMT-3","1","História","Cajazeiras","Sim","Não sei/Não quero responder","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Sim","Excelente","Bom"
"98","2020/10/27 10:17:52 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"105","2020/10/27 10:39:43 AM GMT-3","6","História","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Bom"
"114","2020/10/27 10:55:13 AM GMT-3","6","História","Cajazeiras","Sim","Todas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Não sei/Não quero responder","Boa","Bom"
"120","2020/10/27 10:57:14 AM GMT-3","10","História","Cajazeiras","Sim","Todas","Bom","Não mudou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Boa","Bom"
"124","2020/10/27 11:03:47 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"125","2020/10/27 11:08:18 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Menor","Não","Boa","Bom"
"126","2020/10/27 11:09:00 AM GMT-3","1","História","Cajazeiras","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Sim","Ruim","Excelente"
"141","2020/10/27 11:27:02 AM GMT-3","7","Ciências Biológicas","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Maior","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"145","2020/10/27 11:33:52 AM GMT-3","7","História","Cajazeiras","Sim","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Não passo por essas dificuldades","Razoável","Bom","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"152","2020/10/27 11:39:40 AM GMT-3","3","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Nao","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Regular"
"154","2020/10/27 11:46:24 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"156","2020/10/27 11:51:54 AM GMT-3","10","História","Cajazeiras","Não","Todas","Excelente","Piorou","Melhor","Pior","Raramente","Não","Sim","Excelente","Excelente","Menos exigentes","Menor","Não","Excelente","Excelente"
"165","2020/10/27 12:27:11 PM GMT-3","8","História","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Boa","Bom"
"171","2020/10/27 12:42:08 PM GMT-3","7","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Sim","Nao","Boa","Bom","Tão exigentes quanto","Igual","Sim","Regular","Bom"
"180","2020/10/27 1:30:39 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Sim","Sim","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"202","2020/10/27 2:33:54 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Razoável","Menos exigentes","Menor","Não","Regular","Bom"
"213","2020/10/27 3:14:00 PM GMT-3","2","História","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Excelente","Menos exigentes","Igual","Não","Boa","Excelente"
"218","2020/10/27 3:48:05 PM GMT-3","2","História","Cajazeiras","Não","Algumas","Bom","Melhorou","Pior","Melhor","Frequentemente","Sim","Sim","Excelente","Bom","Menos exigentes","Menor","Não","Excelente","Excelente"
"223","2020/10/27 5:05:47 PM GMT-3","1","História","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"225","2020/10/27 5:17:33 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"226","2020/10/27 5:25:22 PM GMT-3","6","História","Cajazeiras","Sim","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Excelente","Razoável","Tão exigentes quanto","Igual","Não","Regular","Bom"
"227","2020/10/27 5:31:29 PM GMT-3","10","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Nunca","Sim","Não sei/Não quero responder","Boa","Excelente","Tão exigentes quanto","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"235","2020/10/27 7:00:58 PM GMT-3","2","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Excelente"
"238","2020/10/27 7:34:37 PM GMT-3","6","História","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Igual","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Excelente"
"239","2020/10/27 7:39:19 PM GMT-3","1","História","Cajazeiras","Não","Algumas","Bom","Não mudou","Igual","Melhor","Frequentemente","Sim","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Não sei/Não quero responder","Não","Regular","Bom"
"244","2020/10/27 11:08:55 PM GMT-3","6","História","Cajazeiras","Não sei/Não quero responder","Todas","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Sim","Sim","Excelente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Excelente"
"251","2020/10/28 8:30:23 AM GMT-3","1","História","Cajazeiras","Não","Algumas","Não sei/Não quero responder","Piorou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Não sei/Não quero responder","Bom"
"254","2020/10/28 9:37:16 AM GMT-3","1","História","Cajazeiras","Sim","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Igual","Não","Boa","Bom"
"259","2020/10/28 10:50:36 AM GMT-3","10","História","Cajazeiras","Sim","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Nunca","Sim","Nao","Boa","Excelente","Menos exigentes","Igual","Não","Regular","Excelente"
"260","2020/10/28 10:58:06 AM GMT-3","10","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Boa","Excelente","Tão exigentes quanto","Muito menor","Não","Regular","Bom"
"264","2020/10/28 11:15:35 AM GMT-3","9","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Não","Péssima","Bom"
"298","2020/10/28 7:23:55 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Ruim","Não mudou","Pior","Não afetou","Frequentemente","Sim","Nao","Excelente","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"299","2020/10/28 9:50:03 PM GMT-3","10","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"307","2020/10/29 10:20:06 AM GMT-3","3","História","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"309","2020/10/29 2:02:45 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Ruim","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
"311","2020/10/29 4:01:18 PM GMT-3","8","Geografia","Cajazeiras","Não","Todas","Razoável","Melhorou","Melhor","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Péssimo"
"312","2020/10/29 4:01:44 PM GMT-3","6","Geografia","Cajazeiras","Sim","Todas","Péssimo","Não mudou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Não","Ruim","Regular"
"313","2020/10/29 4:02:11 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Sim","Boa","Excelente"
"314","2020/10/29 4:03:45 PM GMT-3","6","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Não sei/Não quero responder","Raramente","Não","Sim","Razoável","Inexistente","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"315","2020/10/29 4:04:30 PM GMT-3","4","Geografia","Cajazeiras","Não","Todas","Razoável","Melhorou","Igual","Melhor","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Excelente","Excelente"
"316","2020/10/29 4:05:10 PM GMT-3","3","Geografia","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Boa","Insuficiente","Mais exigentes","Maior","Não","Regular","Regular"
"317","2020/10/29 4:05:33 PM GMT-3","1","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"318","2020/10/29 4:07:47 PM GMT-3","4","Geografia","Cajazeiras","Sim","Todas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Nao","Boa","Excelente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Bom"
"319","2020/10/29 4:10:43 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Não","Boa","Regular"
"320","2020/10/29 4:10:58 PM GMT-3","6","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"321","2020/10/29 4:11:07 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Excelente"
"322","2020/10/29 4:12:11 PM GMT-3","5","Geografia","Cajazeiras","Não","Todas","Bom","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Não sei/Não quero responder"
"323","2020/10/29 4:12:25 PM GMT-3","1","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não mudou","Pior","Não afetou","Frequentemente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Igual","Não","Boa","Bom"
"324","2020/10/29 4:14:05 PM GMT-3","10","Geografia","Cajazeiras","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Igual","Sim","Regular","Bom"
"325","2020/10/29 4:15:31 PM GMT-3","7","Geografia","Cajazeiras","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não","Ruim","Excelente"
"326","2020/10/29 4:15:38 PM GMT-3","1","Geografia","Cajazeiras","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"328","2020/10/29 4:24:14 PM GMT-3","5","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"329","2020/10/29 4:31:33 PM GMT-3","3","Geografia","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Não mudou","Igual","Pior","Raramente","Não","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Excelente","Regular"
"330","2020/10/29 4:32:06 PM GMT-3","3","Geografia","Cajazeiras","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"332","2020/10/29 4:35:23 PM GMT-3","5","Geografia","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Muito maior","Não","Excelente","Bom"
"333","2020/10/29 4:35:27 PM GMT-3","3","Geografia","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Bom"
"334","2020/10/29 4:44:52 PM GMT-3","5","Geografia","Cajazeiras","Não sei/Não quero responder","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"335","2020/10/29 4:52:36 PM GMT-3","3","Geografia","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Não sei/Não quero responder","Sim","Boa","Inexistente","Tão exigentes quanto","Muito maior","Não","Ruim","Regular"
"336","2020/10/29 4:53:14 PM GMT-3","7","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Igual","Não afetou","Raramente","Sim","Não sei/Não quero responder","Boa","Razoável","Menos exigentes","Igual","Não sei/Não quero responder","Ruim","Ruim"
"337","2020/10/29 4:53:29 PM GMT-3","5","Geografia","Cajazeiras","Não sei/Não quero responder","Todas","Excelente","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Excelente"
"338","2020/10/29 4:53:48 PM GMT-3","3","Geografia","Cajazeiras","Não sei/Não quero responder","Todas","Bom","Não mudou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Muito maior","Não sei/Não quero responder","Boa","Bom"
"339","2020/10/29 4:54:47 PM GMT-3","1","Geografia","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Não sei/Não quero responder","Muito maior","Sim","Regular","Regular"
"340","2020/10/29 4:58:22 PM GMT-3","10","História","Cajazeiras","Não","Todas","Péssimo","Piorou","Pior","Melhor","Frequentemente","Não","Sim","Boa","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"341","2020/10/29 5:14:59 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Sim","Boa","Bom"
"342","2020/10/29 5:16:59 PM GMT-3","5","Geografia","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Péssima","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"343","2020/10/29 5:24:36 PM GMT-3","3","Geografia","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Boa","Insuficiente","Menos exigentes","Igual","Não sei/Não quero responder","Regular","Regular"
"344","2020/10/29 5:40:08 PM GMT-3","9","Geografia","Cajazeiras","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Raramente","Sim","Nao","Boa","Bom","Tão exigentes quanto","Igual","Não","Boa","Bom"
"345","2020/10/29 5:45:02 PM GMT-3","5","Geografia","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Boa","Bom"
"346","2020/10/29 5:59:50 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Bom","Não mudou","Igual","Melhor","Raramente","Sim","Sim","Razoável","Bom","Menos exigentes","Maior","Não","Regular","Bom"
"347","2020/10/29 6:10:44 PM GMT-3","2","Geografia","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Boa","Bom"
"348","2020/10/29 6:13:19 PM GMT-3","1","Geografia","Cajazeiras","Sim","Todas","Razoável","Melhorou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Regular","Bom"
"349","2020/10/29 6:14:06 PM GMT-3","4","Geografia","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"350","2020/10/29 6:18:44 PM GMT-3","1","Geografia","Cajazeiras","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Frequentemente","Sim","Nao","Boa","Bom","Menos exigentes","Menor","Não","Boa","Excelente"
"351","2020/10/29 6:50:05 PM GMT-3","1","Geografia","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
