"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"530","2020/11/05 10:02:50 AM GMT-3","7","Administração","Campina Grande","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Raramente","Não","Não passo por essas dificuldades","Razoável","Razoável","Não sei/Não quero responder","Muito maior","Sim","Boa","Excelente"
"531","2020/11/05 10:03:25 AM GMT-3","3","Administração","Campina Grande","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Razoável","Não sei/Não quero responder","Mais exigentes","Muito maior","Sim","Regular","Não sei/Não quero responder"
"536","2020/11/05 10:05:31 AM GMT-3","8","Administração","Campina Grande","Sim","Algumas","Bom","Melhorou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"540","2020/11/05 10:07:16 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Maior","Sim","Péssima","Bom"
"546","2020/11/05 10:10:52 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Razoável","Não mudou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Bom"
"549","2020/11/05 10:18:18 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Bom","Piorou","Igual","Pior","Nunca","Sim","Não passo por essas dificuldades","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"550","2020/11/05 10:18:42 AM GMT-3","6","Administração","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Pior","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"552","2020/11/05 10:21:58 AM GMT-3","6","Administração","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Regular","Bom"
"555","2020/11/05 10:23:33 AM GMT-3","4","Administração","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"570","2020/11/05 10:31:37 AM GMT-3","3","Administração","Campina Grande","Não","Algumas","Bom","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Menos exigentes","Maior","Sim","Regular","Excelente"
"574","2020/11/05 10:32:27 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Ruim","Não mudou","Pior","Pior","Raramente","Sim","Nao","Razoável","Excelente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"585","2020/11/05 10:41:30 AM GMT-3","7","Administração","Campina Grande","Sim","Todas","Bom","Não mudou","Igual","Não sei/Não quero responder","Raramente","Sim","Nao","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Boa","Bom"
"610","2020/11/05 11:00:36 AM GMT-3","8","Administração","Campina Grande","Sim","Todas","Ruim","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"653","2020/11/05 11:52:08 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Péssimo","Não mudou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"656","2020/11/05 11:53:35 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"658","2020/11/05 11:53:58 AM GMT-3","5","Administração","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Excelente","Excelente"
"971","2020/11/05 3:10:54 PM GMT-3","3","Administração","Sousa","Sim","Todas","Razoável","Piorou","Pior","Não sei/Não quero responder","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Bom"
"1025","2020/11/05 3:32:58 PM GMT-3","3","Administração","Sousa","Não","Algumas","Razoável","Melhorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Sim","Péssima","Excelente"
"1141","2020/11/05 4:53:19 PM GMT-3","8","Administração","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Piorou","Pior","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"1158","2020/11/05 5:17:16 PM GMT-3","3","Administração","Sousa","Sim","Todas","Bom","Melhorou","Pior","Pior","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1160","2020/11/05 5:20:10 PM GMT-3","4","Administração","Sousa","Sim","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Regular","Ruim"
"1167","2020/11/05 5:24:20 PM GMT-3","3","Administração","Sousa","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Boa","Bom"
"1184","2020/11/05 5:48:44 PM GMT-3","3","Administração","Sousa","Sim","Algumas","Razoável","Melhorou","Igual","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Excelente","Regular"
"1195","2020/11/05 6:25:51 PM GMT-3","1","Administração","Sousa","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Maior","Não","Boa","Excelente"
"1220","2020/11/05 8:14:05 PM GMT-3","9","Administração","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"1249","2020/11/05 11:24:15 PM GMT-3","4","Administração","Campina Grande","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Nunca","Sim","Nao","Boa","Bom","Mais exigentes","Maior","Não","Boa","Bom"
"1343","2020/11/06 8:53:47 AM GMT-3","1","Administração","Sousa","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Maior","Não","Boa","Bom"
"1501","2020/11/06 3:00:22 PM GMT-3","5","Administração","Sousa","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Muito maior","Não","Regular","Excelente"
