"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"1425","2020/11/06 10:31:20 AM GMT-3","7","Engenharia Ambiental","Pombal","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1426","2020/11/06 10:32:01 AM GMT-3","9","Engenharia Ambiental","Pombal","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Ruim","Insuficiente","Tão exigentes quanto","Maior","Sim","Ruim","Péssimo"
"1427","2020/11/06 10:32:13 AM GMT-3","4","Engenharia Ambiental","Pombal","Sim","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Excelente","Bom","Mais exigentes","Maior","Não","Boa","Bom"
"1428","2020/11/06 10:32:28 AM GMT-3","6","Engenharia Ambiental","Pombal","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"1430","2020/11/06 10:35:38 AM GMT-3","3","Engenharia Ambiental","Pombal","Não","Todas","Razoável","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Não sei/Não quero responder","Tão exigentes quanto","Igual","Não","Ruim","Excelente"
"1431","2020/11/06 10:35:44 AM GMT-3","2","Engenharia Ambiental","Pombal","Não","Algumas","Razoável","Não mudou","Igual","Melhor","Frequentemente","Não","Sim","Boa","Razoável","Menos exigentes","Menor","Sim","Boa","Regular"
"1432","2020/11/06 10:36:31 AM GMT-3","8","Engenharia Ambiental","Pombal","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Muito maior","Sim","Ruim","Regular"
"1437","2020/11/06 10:40:57 AM GMT-3","4","Engenharia Ambiental","Pombal","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Sim","Regular","Excelente"
"1438","2020/11/06 10:45:04 AM GMT-3","5","Engenharia Ambiental","Pombal","Sim","Todas","Excelente","Melhorou","Melhor","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Mais exigentes","Maior","Não","Boa","Excelente"
"1439","2020/11/06 10:47:50 AM GMT-3","1","Engenharia Ambiental","Pombal","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Boa","Bom"
"1442","2020/11/06 10:53:38 AM GMT-3","2","Engenharia Ambiental","Pombal","Sim","Algumas","Razoável","Melhorou","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
"1448","2020/11/06 11:00:42 AM GMT-3","7","Engenharia Ambiental","Pombal","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Excelente"
"1449","2020/11/06 11:00:43 AM GMT-3","9","Engenharia Ambiental","Pombal","Sim","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"1450","2020/11/06 11:02:31 AM GMT-3","1","Engenharia Ambiental","Pombal","Sim","Todas","Ruim","Melhorou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Razoável","Inexistente","Menos exigentes","Maior","Sim","Regular","Excelente"
"1500","2020/11/06 2:57:49 PM GMT-3","3","Engenharia Ambiental","Pombal","Não sei/Não quero responder","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Bom","Mais exigentes","Muito maior","Sim","Regular","Excelente"
