"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"180","2020/10/27 1:30:39 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Sim","Sim","Boa","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"202","2020/10/27 2:33:54 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Raramente","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Razoável","Menos exigentes","Menor","Não","Regular","Bom"
"213","2020/10/27 3:14:00 PM GMT-3","2","História","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Excelente","Menos exigentes","Igual","Não","Boa","Excelente"
"218","2020/10/27 3:48:05 PM GMT-3","2","História","Cajazeiras","Não","Algumas","Bom","Melhorou","Pior","Melhor","Frequentemente","Sim","Sim","Excelente","Bom","Menos exigentes","Menor","Não","Excelente","Excelente"
"223","2020/10/27 5:05:47 PM GMT-3","1","História","Cajazeiras","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"225","2020/10/27 5:17:33 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"226","2020/10/27 5:25:22 PM GMT-3","6","História","Cajazeiras","Sim","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Excelente","Razoável","Tão exigentes quanto","Igual","Não","Regular","Bom"
"227","2020/10/27 5:31:29 PM GMT-3","10","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Nunca","Sim","Não sei/Não quero responder","Boa","Excelente","Tão exigentes quanto","Não sei/Não quero responder","Não sei/Não quero responder","Boa","Bom"
"235","2020/10/27 7:00:58 PM GMT-3","2","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Igual","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não","Regular","Excelente"
"238","2020/10/27 7:34:37 PM GMT-3","6","História","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Igual","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Excelente"
"239","2020/10/27 7:39:19 PM GMT-3","1","História","Cajazeiras","Não","Algumas","Bom","Não mudou","Igual","Melhor","Frequentemente","Sim","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Não sei/Não quero responder","Não","Regular","Bom"
"244","2020/10/27 11:08:55 PM GMT-3","6","História","Cajazeiras","Não sei/Não quero responder","Todas","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Frequentemente","Sim","Sim","Excelente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Excelente"
"251","2020/10/28 8:30:23 AM GMT-3","1","História","Cajazeiras","Não","Algumas","Não sei/Não quero responder","Piorou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Não sei/Não quero responder","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Não sei/Não quero responder","Bom"
"254","2020/10/28 9:37:16 AM GMT-3","1","História","Cajazeiras","Sim","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Igual","Não","Boa","Bom"
"259","2020/10/28 10:50:36 AM GMT-3","10","História","Cajazeiras","Sim","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não afetou","Nunca","Sim","Nao","Boa","Excelente","Menos exigentes","Igual","Não","Regular","Excelente"
"260","2020/10/28 10:58:06 AM GMT-3","10","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Frequentemente","Sim","Sim","Boa","Excelente","Tão exigentes quanto","Muito menor","Não","Regular","Bom"
"264","2020/10/28 11:15:35 AM GMT-3","9","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Não","Péssima","Bom"
"298","2020/10/28 7:23:55 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Ruim","Não mudou","Pior","Não afetou","Frequentemente","Sim","Nao","Excelente","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"299","2020/10/28 9:50:03 PM GMT-3","10","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Regular"
"307","2020/10/29 10:20:06 AM GMT-3","3","História","Cajazeiras","Sim","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"309","2020/10/29 2:02:45 PM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Nenhuma","Ruim","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
"340","2020/10/29 4:58:22 PM GMT-3","10","História","Cajazeiras","Não","Todas","Péssimo","Piorou","Pior","Melhor","Frequentemente","Não","Sim","Boa","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"385","2020/10/31 1:52:52 PM GMT-3","10","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Sim","Boa","Excelente"
"390","2020/11/01 5:47:28 PM GMT-3","3","História","Cajazeiras","Sim","Todas","Bom","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Razoável","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"391","2020/11/01 11:11:13 PM GMT-3","4","História","Cajazeiras","Não","Algumas","Razoável","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Maior","Não","Regular","Excelente"
"395","2020/11/03 12:57:10 AM GMT-3","5","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Não","Sim","Excelente","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"406","2020/11/04 4:46:51 PM GMT-3","10","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Bom"
"413","2020/11/04 6:32:04 PM GMT-3","7","História","Cajazeiras","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Menos exigentes","Menor","Não","Regular","Bom"
"471","2020/11/05 12:03:42 AM GMT-3","5","História","Cajazeiras","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Regular","Bom"
"501","2020/11/05 9:41:49 AM GMT-3","8","História","Cajazeiras","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Ruim","Bom"
"538","2020/11/05 10:05:47 AM GMT-3","5","História","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Péssima","Bom","Não sei/Não quero responder","Igual","Não","Péssima","Excelente"
"884","2020/11/05 2:56:44 PM GMT-3","3","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Menor","Não","Regular","Excelente"
"1242","2020/11/05 10:40:21 PM GMT-3","8","História","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"1247","2020/11/05 11:20:42 PM GMT-3","3","História","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"1555","2020/11/07 3:53:50 PM GMT-3","7","História","Cajazeiras","Não sei/Não quero responder","Algumas","Razoável","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Razoável","Menos exigentes","Maior","Sim","Boa","Bom"
