"","data","Período","Curso","Campus","Você.acredita.que.as.vagas.ofertadas.no.RAE.foram.suficientes.","Com.relação.às.disciplinas.que.queria.cursar..você.conseguiu.se.matricular.em.","No.geral..você.acha.o.RAE.","Você.acredita.que.o.seu.desempenho.no.RAE..em.comparação.com.o.presencial.","Na.sua.opinião..a.qualidade.do.ensino.no.RAE..em.comparação.com.o.presencial..é.","Você.acredita.que.o.RAE.afetou.sua.saúde.mental.para.","No.que.diz.respeito.a.dificuldades.técnicas..queda.de.internet.ou.energia..indisponibilidade.de.equipamento.etc...você.passa.por.elas.","Na.sua.opinião..os.professores.são.tolerantes.com.imprevistos.que.impossibilitem.a.realização.de.atividades.","No.geral..você.acha.que.essas.dificuldades.prejudicam.o.seu.desempenho.","Em.geral..você.acha.que.a.atuação.dos.professores.no.RAE.é.está.sendo.","Na.sua.experiência..o.atendimento.individual.dos.professores.aos.alunos.está.sendo.","Na.sua.opinião..em.comparação.com.o.regime.presencial..no.RAE.os.professores.estão.","No.geral..em.comparação.com.o.regime.presencial..você.acha.que.o.volume.de.atividades.exigidas.no.RAE.é.","Você.julga.esse.volume.de.atividades.abusivo.","Como.você.avalia.a.atuação.da.UFCG.diante.da.pandemia.","Como.você.avalia.o.desempenho.da.coordenação.do.seu.curso.no.atendimento.e.suporte.aos.estudantes.no.RAE."
"571","2020/11/05 10:31:44 AM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Sim","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Não sei/Não quero responder","Bom"
"572","2020/11/05 10:31:46 AM GMT-3","3","Farmácia","Cuité","Sim","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"573","2020/11/05 10:32:08 AM GMT-3","3","Farmácia","Cuité","Não","Todas","Ruim","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Nao","Boa","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"576","2020/11/05 10:34:23 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Mais exigentes","Igual","Não","Regular","Excelente"
"578","2020/11/05 10:35:38 AM GMT-3","2","Farmácia","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"579","2020/11/05 10:35:46 AM GMT-3","4","Farmácia","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"580","2020/11/05 10:36:06 AM GMT-3","3","Farmácia","Cuité","Sim","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"584","2020/11/05 10:41:20 AM GMT-3","3","Farmácia","Cuité","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Não sei/Não quero responder","Boa","Bom"
"586","2020/11/05 10:41:34 AM GMT-3","1","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Maior","Não sei/Não quero responder","Ruim","Bom"
"587","2020/11/05 10:42:54 AM GMT-3","2","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"589","2020/11/05 10:45:42 AM GMT-3","1","Farmácia","Cuité","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Regular"
"590","2020/11/05 10:46:58 AM GMT-3","2","Farmácia","Cuité","Sim","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Não","Excelente","Regular"
"593","2020/11/05 10:49:06 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Maior","Não","Regular","Excelente"
"594","2020/11/05 10:49:06 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Raramente","Sim","Sim","Boa","Insuficiente","Menos exigentes","Muito maior","Não","Regular","Excelente"
"596","2020/11/05 10:50:22 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Razoável","Não sei/Não quero responder","Menor","Não","Ruim","Regular"
"598","2020/11/05 10:50:49 AM GMT-3","1","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Pior","Pior","Nunca","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Ruim","Excelente"
"605","2020/11/05 10:58:11 AM GMT-3","2","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Inexistente","Tão exigentes quanto","Muito maior","Sim","Regular","Regular"
"613","2020/11/05 11:03:29 AM GMT-3","5","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"615","2020/11/05 11:04:37 AM GMT-3","5","Farmácia","Cuité","Sim","Todas","Ruim","Não mudou","Não sei/Não quero responder","Pior","Raramente","Não","Sim","Boa","Razoável","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"648","2020/11/05 11:44:39 AM GMT-3","5","Farmácia","Cuité","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Frequentemente","Não","Sim","Razoável","Bom","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Péssima","Regular"
"650","2020/11/05 11:46:47 AM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"655","2020/11/05 11:53:34 AM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Não sei/Não quero responder","Não","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Maior","Não","Não sei/Não quero responder","Regular"
"663","2020/11/05 12:00:35 PM GMT-3","3","Farmácia","Cuité","Não","Todas","Bom","Melhorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Inexistente","Mais exigentes","Muito maior","Sim","Não sei/Não quero responder","Excelente"
"664","2020/11/05 12:03:28 PM GMT-3","3","Farmácia","Cuité","Não","Nenhuma","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Razoável","Tão exigentes quanto","Maior","Sim","Regular","Regular"
"683","2020/11/05 12:48:44 PM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não","Não sei/Não quero responder","Não sei/Não quero responder"
"762","2020/11/05 1:17:21 PM GMT-3","1","Farmácia","Cuité","Não","Algumas","Bom","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Regular","Bom"
"768","2020/11/05 1:22:49 PM GMT-3","1","Farmácia","Cuité","Não sei/Não quero responder","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Não","Boa","Excelente"
"784","2020/11/05 1:41:35 PM GMT-3","2","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Ruim","Bom"
"805","2020/11/05 2:05:37 PM GMT-3","3","Farmácia","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"809","2020/11/05 2:10:57 PM GMT-3","6","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Melhor","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"813","2020/11/05 2:18:44 PM GMT-3","7","Farmácia","Cuité","Sim","Todas","Bom","Não mudou","Igual","Pior","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Muito maior","Não","Ruim","Regular"
"817","2020/11/05 2:22:31 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Pior","Melhor","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"818","2020/11/05 2:23:52 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Mais exigentes","Maior","Não","Regular","Regular"
"819","2020/11/05 2:26:21 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Não sei/Não quero responder","Frequentemente","Sim","Sim","Razoável","Razoável","Menos exigentes","Menor","Sim","Ruim","Regular"
"820","2020/11/05 2:26:51 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Razoável","Não mudou","Igual","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"825","2020/11/05 2:29:58 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Não","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Regular"
"849","2020/11/05 2:43:45 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Regular"
"850","2020/11/05 2:44:38 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"871","2020/11/05 2:55:02 PM GMT-3","3","Farmácia","Cuité","Não","Todas","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Péssimo"
"881","2020/11/05 2:56:22 PM GMT-3","3","Farmácia","Cuité","Sim","Todas","Bom","Melhorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"891","2020/11/05 2:58:21 PM GMT-3","9","Farmácia","Cuité","Sim","Todas","Bom","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Igual","Não sei/Não quero responder","Regular","Bom"
"907","2020/11/05 2:59:49 PM GMT-3","5","Farmácia","Cuité","Não sei/Não quero responder","Algumas","Bom","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Nunca","Não","Não passo por essas dificuldades","Razoável","Insuficiente","Tão exigentes quanto","Maior","Não","Ruim","Regular"
"946","2020/11/05 3:07:16 PM GMT-3","6","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"950","2020/11/05 3:07:28 PM GMT-3","4","Farmácia","Cuité","Sim","Todas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Sim","Sim","Excelente","Bom","Mais exigentes","Muito maior","Não sei/Não quero responder","Regular","Bom"
"979","2020/11/05 3:12:47 PM GMT-3","5","Farmácia","Cuité","Não sei/Não quero responder","Algumas","Razoável","Piorou","Não sei/Não quero responder","Não afetou","Nunca","Não","Não passo por essas dificuldades","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"990","2020/11/05 3:16:31 PM GMT-3","7","Farmácia","Cuité","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Boa","Excelente","Mais exigentes","Muito maior","Não","Péssima","Péssimo"
"1001","2020/11/05 3:20:41 PM GMT-3","6","Farmácia","Cuité","Sim","Algumas","Bom","Não mudou","Pior","Melhor","Raramente","Não","Não sei/Não quero responder","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Regular"
"1006","2020/11/05 3:22:23 PM GMT-3","5","Farmácia","Cuité","Não","Algumas","Excelente","Melhorou","Igual","Não sei/Não quero responder","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Maior","Não","Péssima","Ruim"
"1008","2020/11/05 3:23:59 PM GMT-3","5","Farmácia","Cuité","Não","Algumas","Ruim","Melhorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"1042","2020/11/05 3:38:49 PM GMT-3","5","Farmácia","Cuité","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Razoável","Bom","Menos exigentes","Muito maior","Não","Boa","Bom"
"1047","2020/11/05 3:40:25 PM GMT-3","5","Farmácia","Cuité","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Bom","Tão exigentes quanto","Muito maior","Sim","Ruim","Péssimo"
"1077","2020/11/05 3:55:53 PM GMT-3","5","Farmácia","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Boa","Regular"
"1079","2020/11/05 3:56:16 PM GMT-3","3","Farmácia","Cuité","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Não sei/Não quero responder"
"1083","2020/11/05 3:58:59 PM GMT-3","7","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Insuficiente","Menos exigentes","Muito maior","Sim","Péssima","Regular"
"1100","2020/11/05 4:10:02 PM GMT-3","4","Farmácia","Cuité","Sim","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Maior","Não","Boa","Bom"
"1101","2020/11/05 4:10:09 PM GMT-3","5","Farmácia","Cuité","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Excelente","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"1122","2020/11/05 4:26:45 PM GMT-3","5","Farmácia","Cuité","Não","Todas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Péssimo"
"1124","2020/11/05 4:29:18 PM GMT-3","5","Farmácia","Cuité","Sim","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Boa","Bom","Mais exigentes","Maior","Sim","Boa","Bom"
"1139","2020/11/05 4:50:32 PM GMT-3","2","Farmácia","Cuité","Não","Todas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Não passo por essas dificuldades","Razoável","Excelente","Mais exigentes","Maior","Não","Regular","Regular"
"1154","2020/11/05 5:08:27 PM GMT-3","10","Farmácia","Cuité","Não","Todas","Razoável","Não mudou","Pior","Não sei/Não quero responder","Frequentemente","Não","Sim","Ruim","Insuficiente","Tão exigentes quanto","Muito maior","Não sei/Não quero responder","Regular","Regular"
"1165","2020/11/05 5:22:50 PM GMT-3","5","Farmácia","Cuité","Não","Algumas","Razoável","Piorou","Igual","Não sei/Não quero responder","Raramente","Não","Sim","Boa","Bom","Mais exigentes","Muito maior","Sim","Regular","Bom"
"1177","2020/11/05 5:41:16 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Excelente","Melhorou","Igual","Não afetou","Raramente","Não","Nao","Excelente","Inexistente","Tão exigentes quanto","Muito maior","Sim","Boa","Bom"
"1190","2020/11/05 6:15:56 PM GMT-3","1","Farmácia","Cuité","Sim","Todas","Bom","Não sei/Não quero responder","Pior","Não afetou","Nunca","Não","Nao","Boa","Insuficiente","Mais exigentes","Igual","Não","Ruim","Excelente"
"1199","2020/11/05 6:38:28 PM GMT-3","4","Farmácia","Cuité","Não","Algumas","Excelente","Melhorou","Igual","Não afetou","Nunca","Sim","Não passo por essas dificuldades","Excelente","Excelente","Mais exigentes","Maior","Não","Boa","Bom"
"1230","2020/11/05 9:10:35 PM GMT-3","2","Farmácia","Cuité","Sim","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Igual","Não","Boa","Bom"
"1233","2020/11/05 9:16:52 PM GMT-3","4","Farmácia","Cuité","Sim","Todas","Razoável","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Muito maior","Sim","Boa","Excelente"
"1276","2020/11/06 7:37:04 AM GMT-3","3","Farmácia","Cuité","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Insuficiente","Não sei/Não quero responder","Muito maior","Sim","Regular","Excelente"
"1318","2020/11/06 8:20:22 AM GMT-3","1","Farmácia","Cuité","Sim","Algumas","Bom","Não mudou","Não sei/Não quero responder","Pior","Raramente","Sim","Sim","Razoável","Inexistente","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"1328","2020/11/06 8:35:10 AM GMT-3","4","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"1401","2020/11/06 10:01:12 AM GMT-3","3","Farmácia","Cuité","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Não passo por essas dificuldades","Razoável","Excelente","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"1565","2020/11/09 11:35:24 AM GMT-3","5","Farmácia","Cuité","Não","Todas","Razoável","Não mudou","Pior","Não afetou","Raramente","Não","Nao","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Bom"
"1566","2020/11/09 12:12:41 PM GMT-3","2","Farmácia","Cuité","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Nao","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Regular","Ruim"
